名前,ページのURL,画像のURL,種類,価格,年齢（下限）,年齢（上限）,男性or女性or両方,送る人との関係
カシミヤ マフラー ≪mattitotti≫,https://search.rakuten.co.jp/search/mall/マフラー/?f=1&grp=product, ,マフラー,8200,16,30,両方,家族、友人、恋人
大判ストール チェック 厚手◆roshell(ロシェル) チェックマフラー,https://item.rakuten.co.jp/jiggys-shop/r-3-361/,https://image.rakuten.co.jp/jiggys-shop/cabinet/sp89/200906_m01f.jpg,マフラー,2200,6,-,両方,家族、友人
,,,,,,,,
FORBEL swiss,https://item.rakuten.co.jp/hapian/fal50509-pair-2-ca/,https://image.rakuten.co.jp/hapian/cabinet/pair-watch/fal50509-pair-2-ca.jpg,腕時計,9800,6,20,両方,家族、友人、恋人
DW（ダニエル・ウェリントン）,https://item.rakuten.co.jp/hapian/0209dw/,https://image.rakuten.co.jp/hapian/cabinet/mens-watch/0209dw.jpg,腕時計,18000,11,20,両方,家族、恋人
Ω（オメガ）,https://item.rakuten.co.jp/aeonfashionshop/2021474686/?s-id=pc_shop_recommend,https://thumbnail.image.rakuten.co.jp/@0_mall/aeonfashionshop/cabinet/image13/2348914509010_.jpg?_ex=700x700&s=0&r=1,腕時計,538000,31,50,男性,恋人
,,,,,,,,
４℃,https://item.rakuten.co.jp/cavatina/4c-018/,https://image.rakuten.co.jp/cavatina/cabinet/4c-01/4c-018_0.jpg,ネックレス,17500,16,25,女性,恋人
K18,https://item.rakuten.co.jp/veneziajewels/diap0007/,https://image.rakuten.co.jp/veneziajewels/cabinet/02256051/motif01/diap000711x.jpg,ネックレス,30000,21,30,女性,家族、恋人
,,,,,,,,
Emollient,https://search.rakuten.co.jp/search/mall/イヤリング/?l-id=s_search&l2-id=shop_header_search,,イヤリング,10000,16,20,女性,友人、恋人
,,,,,,,,
クロエ オードパルファム ３０ml,https://item.rakuten.co.jp/b-cat/14236l/?iasid=07_10095__90736254_v3j-jbhizxwv-xjzt,https://image.rakuten.co.jp/b-cat/cabinet/02297358/img60927597.jpg,香水,4500,16,20,女性,友人、恋人
エンジェルハート EDT SP 100ml,https://item.rakuten.co.jp/cavatina/cos-318/,https://thumbnail.image.rakuten.co.jp/@0_mall/cavatina/cabinet/cos-01/cos-318.jpg?_ex=350x350&s=2&r=1,香水,2650,16,20,女性,友人、恋人
GUCCI ギルティ ギルティー プールオム EDT 50ml,https://item.rakuten.co.jp/cavatina/parfum-157/,https://image.rakuten.co.jp/cavatina/cabinet/cos-01/parfum-157-01.jpg,香水,4620,21,30,男性,友人、恋人
,,,,,,,,
【3足セット】レディース 靴下,https://item.rakuten.co.jp/miraclejapan/socks-003-3set/,https://www.rakuten.ne.jp/gold/miraclejapan/images/socks/socks-003-3set.jpg,靴下,1000,11,20,女性,家族、友人
ワンランク上のメンズソックス シンプルデザイン 10足セット,https://item.rakuten.co.jp/box408/men46045/,https://image.rakuten.co.jp/box408/cabinet/15ss/mens/men46045_3-2.jpg,靴下,2400,11,20,男性,家族、友人
,,,,,,,,
【Attivo】,https://item.rakuten.co.jp/allegretto/atku078_b/,https://www.rakuten.ne.jp/gold/allegretto/images/pc_img/atku078-full_01.jpg,手袋,7000,20,-,女性,友人、恋人
